,medium_name,mapped_medium_name
0,NZZ Online,NZZ
1,NZZ PRO Global,NZZ
2,bellevue.nzz.ch,NZZ
3,NZZ am Sonntag Magazin,NZZ
4,NZZ Folio,NZZ
5,NZZ Geschichte,NZZ
6,NZZ am Sonntag,NZZ
7,Neue Zürcher Zeitung,NZZ
8,nzz.ch,NZZ
9,cash.ch,Cash
10,encore! (dt),Encore!
11,20 minuten online,20_Minuten
12,20 minutes online,20_Minuten
13,20 minuten,20_Minuten
14,srf Audio,SRF
15,srf Video,SRF
16,srf.ch,SRF
17,badenertagblatt.ch,Badener_Tagblatt
18,solothurnerzeitung.ch,Solothurner_Zeitung
19,berneroberlaender.ch,Berner_Oberlaender
20,bernerzeitung.ch,Berner Zeitung
21,limmattalerzeitung.ch,Limmattaler_Zeitung
22,Sonntagsblick,Blick
23,blick.ch,Blick
24,derbund.ch,Der_Bund
25,schweizer‐illustrierte.ch,Schweizer_Illustrierte
26,SI Sport,Schweizer_Illustrierte
27,oltnertagblatt.ch,Oltner_Tagblatt
28,luzernerzeitung.ch,Luzerner_Zeitung
29,tagblatt.ch,St._Galler_Tagblatt
30,Wiler Zeitung,St._Galler_Tagblatt
31,aargauerzeitung.ch,Aargauer_Zeitung
32,langenthalertagblatt.ch,Langenthaler_Tagblatt
33,BZ - Langenthaler Tagblatt,Langenthaler_Tagblatt
34,bz - Zeitung für die Region Basel,BZ_Basel
35,bzbasel.ch,BZ_Basel
36,bazonline.ch,Basler_Zeitung
37,züritipp (Tages-Anzeiger),Tages_Anzeiger
38,tagesanzeiger.ch,Tages_Anzeiger
39,Tages-Anzeiger,Tages_Anzeiger
40,SonntagsZeitung,Tages_Anzeiger
41,zuonline.ch,Zuercher_Unterlaender
42,zsz.ch,Zuerichsee_Zeitung
43,Zürichsee-Zeitung,Zuerichsee_Zeitung
44,fuw.ch,Finanz_und_Wirtschaft
45,glueckspost.ch,Glueckspost
46,HZ Insurance,Handelszeitung
47,handelszeitung.ch,Handelszeitung
48,Thalwiler Anzeiger/Sihltaler,Thalwiler_Anzeiger
49,Der Landbote,Landbote
50,landbote.ch,Landbote
51,grenchnertagblatt.ch,Grenchner_Tagblatt
52,thunertagblatt.ch,Thuner_Tagblatt
53,bilanz.ch,Bilanz
54,swissinfo.ch,Swissinfo
55,beobachter.ch,Beobachter